Rank,Mode,Percentage,Category,Season
Bronze 3,Rumble,99.63,Extra,11
Silver 1,Rumble,98.78,Extra,11
Silver 2,Rumble,96.9,Extra,11
Silver 3,Rumble,93.06,Extra,11
Gold 1,Rumble,86.27,Extra,11
Gold 2,Rumble,75.54,Extra,11
Gold 3,Rumble,61.1,Extra,11
Platinum 1,Rumble,44.88,Extra,11
Platinum 2,Rumble,29.69,Extra,11
Platinum 3,Rumble,18.16,Extra,11
Diamond 1,Rumble,10.51,Extra,11
Diamond 2,Rumble,5.87,Extra,11
Diamond 3,Rumble,3.25,Extra,11
Champion 1,Rumble,1.79,Extra,11
Champion 2,Rumble,0.96,Extra,11
Champion 3,Rumble,0.51,Extra,11
GC 1,Rumble,0.21,Extra,11
GC 2,Rumble,0.06,Extra,11
GC 3,Rumble,0.02,Extra,11
SL,Rumble,0.01,Extra,11
Bronze 1,Dropshot,100.0,Extra,11
Bronze 2,Dropshot,99.98,Extra,11
Bronze 3,Dropshot,99.91,Extra,11
Silver 1,Dropshot,99.63,Extra,11
Silver 2,Dropshot,98.63,Extra,11
Silver 3,Dropshot,96.48,Extra,11
Gold 1,Dropshot,92.02,Extra,11
Gold 2,Dropshot,84.13,Extra,11
Gold 3,Dropshot,72.42,Extra,11
Platinum 1,Dropshot,58.08,Extra,11
Platinum 2,Dropshot,43.26,Extra,11
Platinum 3,Dropshot,30.1,Extra,11
Diamond 1,Dropshot,19.71,Extra,11
Diamond 2,Dropshot,12.21,Extra,11
Diamond 3,Dropshot,7.2,Extra,11
Champion 1,Dropshot,4.09,Extra,11
Champion 2,Dropshot,2.2,Extra,11
Champion 3,Dropshot,1.15,Extra,11
GC 1,Dropshot,0.53,Extra,11
GC 2,Dropshot,0.2,Extra,11
GC 3,Dropshot,0.04,Extra,11
SL,Dropshot,0.02,Extra,11
Bronze 1,Hoops,99.97,Extra,11
Bronze 2,Hoops,99.95,Extra,11
Bronze 3,Hoops,99.85,Extra,11
Silver 1,Hoops,99.36,Extra,11
Silver 2,Hoops,98.0,Extra,11
Silver 3,Hoops,94.69,Extra,11
Gold 1,Hoops,87.95,Extra,11
Gold 2,Hoops,76.54,Extra,11
Gold 3,Hoops,61.07,Extra,11
Platinum 1,Hoops,44.17,Extra,11
Platinum 2,Hoops,29.04,Extra,11
Platinum 3,Hoops,17.77,Extra,11
Diamond 1,Hoops,10.41,Extra,11
Diamond 2,Hoops,5.93,Extra,11
Diamond 3,Hoops,3.35,Extra,11
Champion 1,Hoops,1.88,Extra,11
Champion 2,Hoops,1.02,Extra,11
Champion 3,Hoops,0.53,Extra,11
GC 1,Hoops,0.23,Extra,11
GC 2,Hoops,0.07,Extra,11
GC 3,Hoops,0.02,Extra,11
SL,Hoops,0.01,Extra,11
Bronze 1,Snow Day,100.03,Extra,11
Bronze 2,Snow Day,99.96,Extra,11
Bronze 3,Snow Day,99.72,Extra,11
Silver 1,Snow Day,98.88,Extra,11
Silver 2,Snow Day,97.08,Extra,11
Silver 3,Snow Day,93.37,Extra,11
Gold 1,Snow Day,86.75,Extra,11
Gold 2,Snow Day,76.65,Extra,11
Gold 3,Snow Day,63.75,Extra,11
Platinum 1,Snow Day,49.71,Extra,11
Platinum 2,Snow Day,36.52,Extra,11
Platinum 3,Snow Day,25.36,Extra,11
Diamond 1,Snow Day,16.77,Extra,11
Diamond 2,Snow Day,10.5,Extra,11
Diamond 3,Snow Day,6.3,Extra,11
Champion 1,Snow Day,3.63,Extra,11
Champion 2,Snow Day,1.97,Extra,11
Champion 3,Snow Day,1.04,Extra,11
GC 1,Snow Day,0.49,Extra,11
GC 2,Snow Day,0.19,Extra,11
GC 3,Snow Day,0.03,Extra,11
SL,Snow Day,0.02,Extra,11
Bronze 1,Solo Duel,99.98,Standard,10
Bronze 2,Solo Duel,99.91,Standard,10
Bronze 3,Solo Duel,99.54,Standard,10
Silver 1,Solo Duel,98.21,Standard,10
Silver 2,Solo Duel,94.98,Standard,10
Silver 3,Solo Duel,88.85,Standard,10
Gold 1,Solo Duel,79.41,Standard,10
Gold 2,Solo Duel,66.47,Standard,10
Gold 3,Solo Duel,51.58,Standard,10
Platinum 1,Solo Duel,36.73,Standard,10
Platinum 2,Solo Duel,23.22,Standard,10
Platinum 3,Solo Duel,13.44,Standard,10
Diamond 1,Solo Duel,7.29,Standard,10
Diamond 2,Solo Duel,3.68,Standard,10
Diamond 3,Solo Duel,1.81,Standard,10
Champion 1,Solo Duel,0.88,Standard,10
Champion 2,Solo Duel,0.41,Standard,10
Champion 3,Solo Duel,0.19,Standard,10
Grand Champion 1,Solo Duel,0.09,Standard,10
Grand Champion 2,Solo Duel,0.04,Standard,10
Grand Champion 3,Solo Duel,0.02,Standard,10
Supersonic Legend,Solo Duel,0.01,Standard,10
Bronze 1,Standard,99.98,Standard,10
Bronze 2,Standard,99.87,Standard,10
Bronze 3,Standard,99.49,Standard,10
Silver 1,Standard,98.44,Standard,10
Silver 2,Standard,95.98,Standard,10
Silver 3,Standard,91.1,Standard,10
Gold 1,Standard,83.17,Standard,10
Gold 2,Standard,72.16,Standard,10
Gold 3,Standard,59.62,Standard,10
Platinum 1,Standard,47.5,Standard,10
Platinum 2,Standard,36.41,Standard,10
Platinum 3,Standard,27.36,Standard,10
Diamond 1,Standard,20.25,Standard,10
Diamond 2,Standard,13.04,Standard,10
Diamond 3,Standard,8.17,Standard,10
Champion 1,Standard,4.98,Standard,10
Champion 2,Standard,2.18,Standard,10
Champion 3,Standard,0.96,Standard,10
Grand Champion 1,Standard,0.4,Standard,10
Grand Champion 2,Standard,0.12,Standard,10
Grand Champion 3,Standard,0.03,Standard,10
Supersonic Legend,Standard,0.01,Standard,10
Bronze 1,Doubles,100.01,Standard,10
Bronze 2,Doubles,99.99,Standard,10
Bronze 3,Doubles,99.91,Standard,10
Silver 1,Doubles,99.67,Standard,10
Silver 2,Doubles,99.06,Standard,10
Silver 3,Doubles,97.77,Standard,10
Gold 1,Doubles,95.33,Standard,10
Gold 2,Doubles,91.14,Standard,10
Gold 3,Doubles,84.84,Standard,10
Platinum 1,Doubles,76.5,Standard,10
Platinum 2,Doubles,66.07,Standard,10
Platinum 3,Doubles,54.79,Standard,10
Diamond 1,Doubles,43.92,Standard,10
Diamond 2,Doubles,30.44,Standard,10
Diamond 3,Doubles,20.39,Standard,10
Champion 1,Doubles,13.3,Standard,10
Champion 2,Doubles,6.08,Standard,10
Champion 3,Doubles,2.7,Standard,10
Grand Champion 1,Doubles,1.13,Standard,10
Grand Champion 2,Doubles,0.28,Standard,10
Grand Champion 3,Doubles,0.07,Standard,10
Supersonic Legend,Doubles,0.02,Standard,10
Bronze 1,Rumble,100.01,Extra,10
Bronze 2,Rumble,99.97,Extra,10
Bronze 3,Rumble,99.78,Extra,10
Silver 1,Rumble,99.21,Extra,10
Silver 2,Rumble,97.87,Extra,10
Silver 3,Rumble,94.96,Extra,10
Gold 1,Rumble,89.61,Extra,10
Gold 2,Rumble,80.68,Extra,10
Gold 3,Rumble,67.8,Extra,10
Platinum 1,Rumble,52.22,Extra,10
Platinum 2,Rumble,36.2,Extra,10
Platinum 3,Rumble,22.97,Extra,10
Diamond 1,Rumble,13.66,Extra,10
Diamond 2,Rumble,7.73,Extra,10
Diamond 3,Rumble,4.3,Extra,10
Champion 1,Rumble,2.38,Extra,10
Champion 2,Rumble,1.27,Extra,10
Champion 3,Rumble,0.68,Extra,10
Grand Champion 1,Rumble,0.29,Extra,10
Grand Champion 2,Rumble,0.09,Extra,10
Grand Champion 3,Rumble,0.02,Extra,10
Supersonic Legend,Rumble,0.01,Extra,10
Bronze 1,Dropshot,100.0,Extra,10
Bronze 2,Dropshot,98.96,Extra,10
Bronze 3,Dropshot,96.05,Extra,10
Silver 1,Dropshot,89.51,Extra,10
Silver 2,Dropshot,77.61,Extra,10
Silver 3,Dropshot,63.94,Extra,10
Gold 1,Dropshot,48.84,Extra,10
Gold 2,Dropshot,34.6,Extra,10
Gold 3,Dropshot,22.92,Extra,10
Platinum 1,Dropshot,14.33,Extra,10
Platinum 2,Dropshot,8.47,Extra,10
Platinum 3,Dropshot,4.8,Extra,10
Diamond 1,Dropshot,2.6,Extra,10
Diamond 2,Dropshot,1.34,Extra,10
Diamond 3,Dropshot,0.66,Extra,10
Champion 1,Dropshot,0.3,Extra,10
Champion 2,Dropshot,0.13,Extra,10
Champion 3,Dropshot,0.05,Extra,10
Grand Champion 1,Dropshot,0.01,Extra,10
Grand Champion 2,Dropshot,0.0,Extra,10
Grand Champion 3,Dropshot,0.0,Extra,10
Supersonic Legend,Dropshot,0.0,Extra,10
Bronze 1,Hoops,100.01,Extra,10
Bronze 2,Hoops,100.0,Extra,10
Bronze 3,Hoops,99.96,Extra,10
Silver 1,Hoops,99.74,Extra,10
Silver 2,Hoops,99.04,Extra,10
Silver 3,Hoops,97.19,Extra,10
Gold 1,Hoops,92.92,Extra,10
Gold 2,Hoops,84.88,Extra,10
Gold 3,Hoops,72.25,Extra,10
Platinum 1,Hoops,56.37,Extra,10
Platinum 2,Hoops,39.78,Extra,10
Platinum 3,Hoops,25.79,Extra,10
Diamond 1,Hoops,15.68,Extra,10
Diamond 2,Hoops,9.13,Extra,10
Diamond 3,Hoops,5.22,Extra,10
Champion 1,Hoops,2.95,Extra,10
Champion 2,Hoops,1.64,Extra,10
Champion 3,Hoops,0.89,Extra,10
Grand Champion 1,Hoops,0.41,Extra,10
Grand Champion 2,Hoops,0.14,Extra,10
Grand Champion 3,Hoops,0.04,Extra,10
Supersonic Legend,Hoops,0.02,Extra,10
Bronze 1,Snow Day,100.0,Extra,10
Bronze 2,Snow Day,97.77,Extra,10
Bronze 3,Snow Day,93.55,Extra,10
Silver 1,Snow Day,85.22,Extra,10
Silver 2,Snow Day,74.46,Extra,10
Silver 3,Snow Day,61.0,Extra,10
Gold 1,Snow Day,46.67,Extra,10
Gold 2,Snow Day,33.49,Extra,10
Gold 3,Snow Day,22.68,Extra,10
Platinum 1,Snow Day,14.54,Extra,10
Platinum 2,Snow Day,8.86,Extra,10
Platinum 3,Snow Day,5.16,Extra,10
Diamond 1,Snow Day,2.89,Extra,10
Diamond 2,Snow Day,1.54,Extra,10
Diamond 3,Snow Day,0.78,Extra,10
Champion 1,Snow Day,0.38,Extra,10
Champion 2,Snow Day,0.18,Extra,10
Champion 3,Snow Day,0.08,Extra,10
Grand Champion 1,Snow Day,0.03,Extra,10
Grand Champion 2,Snow Day,0.01,Extra,10
Grand Champion 3,Snow Day,0.0,Extra,10
Supersonic Legend,Snow Day,0.0,Extra,10
Bronze 1,Solo Duel,100.0,Standard,9
Bronze 2,Solo Duel,99.94,Standard,9
Bronze 3,Solo Duel,99.61,Standard,9
Silver 1,Solo Duel,98.38,Standard,9
Silver 2,Solo Duel,95.31,Standard,9
Silver 3,Solo Duel,89.33,Standard,9
Gold 1,Solo Duel,79.98,Standard,9
Gold 2,Solo Duel,67.04,Standard,9
Gold 3,Solo Duel,52.18,Standard,9
Platinum 1,Solo Duel,37.42,Standard,9
Platinum 2,Solo Duel,23.87,Standard,9
Platinum 3,Solo Duel,13.99,Standard,9
Diamond 1,Solo Duel,7.68,Standard,9
Diamond 2,Solo Duel,3.92,Standard,9
Diamond 3,Solo Duel,1.96,Standard,9
Champion 1,Solo Duel,0.95,Standard,9
Champion 2,Solo Duel,0.44,Standard,9
Champion 3,Solo Duel,0.2,Standard,9
Grand Champion 1,Solo Duel,0.09,Standard,9
Grand Champion 2,Solo Duel,0.04,Standard,9
Grand Champion 3,Solo Duel,0.02,Standard,9
Supersonic Legend,Solo Duel,0.01,Standard,9
Bronze 1,Standard,99.99,Standard,9
Bronze 2,Standard,99.87,Standard,9
Bronze 3,Standard,99.47,Standard,9
Silver 1,Standard,98.36,Standard,9
Silver 2,Standard,95.79,Standard,9
Silver 3,Standard,90.76,Standard,9
Gold 1,Standard,82.66,Standard,9
Gold 2,Standard,71.5,Standard,9
Gold 3,Standard,58.9,Standard,9
Platinum 1,Standard,46.85,Standard,9
Platinum 2,Standard,35.83,Standard,9
Platinum 3,Standard,26.92,Standard,9
Diamond 1,Standard,19.93,Standard,9
Diamond 2,Standard,12.83,Standard,9
Diamond 3,Standard,8.06,Standard,9
Champion 1,Standard,4.92,Standard,9
Champion 2,Standard,2.16,Standard,9
Champion 3,Standard,0.95,Standard,9
Grand Champion 1,Standard,0.4,Standard,9
Grand Champion 2,Standard,0.12,Standard,9
Grand Champion 3,Standard,0.03,Standard,9
Supersonic Legend,Standard,0.01,Standard,9
Bronze 1,Doubles,100.0,Standard,9
Bronze 2,Doubles,99.97,Standard,9
Bronze 3,Doubles,99.87,Standard,9
Silver 1,Doubles,99.58,Standard,9
Silver 2,Doubles,98.88,Standard,9
Silver 3,Doubles,97.44,Standard,9
Gold 1,Doubles,94.77,Standard,9
Gold 2,Doubles,90.21,Standard,9
Gold 3,Doubles,83.44,Standard,9
Platinum 1,Doubles,74.59,Standard,9
Platinum 2,Doubles,63.64,Standard,9
Platinum 3,Doubles,52.17,Standard,9
Diamond 1,Doubles,41.41,Standard,9
Diamond 2,Doubles,28.42,Standard,9
Diamond 3,Doubles,18.93,Standard,9
Champion 1,Doubles,12.32,Standard,9
Champion 2,Doubles,5.56,Standard,9
Champion 3,Doubles,2.43,Standard,9
Grand Champion 1,Doubles,1.0,Standard,9
Grand Champion 2,Doubles,0.24,Standard,9
Grand Champion 3,Doubles,0.06,Standard,9
Supersonic Legend,Doubles,0.02,Standard,9
Bronze 1,Rumble,100.0,Extra,9
Bronze 2,Rumble,99.96,Extra,9
Bronze 3,Rumble,99.77,Extra,9
Silver 1,Rumble,99.18,Extra,9
Silver 2,Rumble,97.8,Extra,9
Silver 3,Rumble,94.82,Extra,9
Gold 1,Rumble,89.36,Extra,9
Gold 2,Rumble,80.3,Extra,9
Gold 3,Rumble,67.38,Extra,9
Platinum 1,Rumble,51.94,Extra,9
Platinum 2,Rumble,36.08,Extra,9
Platinum 3,Rumble,22.98,Extra,9
Diamond 1,Rumble,13.72,Extra,9
Diamond 2,Rumble,7.78,Extra,9
Diamond 3,Rumble,4.34,Extra,9
Champion 1,Rumble,2.39,Extra,9
Champion 2,Rumble,1.28,Extra,9
Champion 3,Rumble,0.68,Extra,9
Grand Champion 1,Rumble,0.29,Extra,9
Grand Champion 2,Rumble,0.09,Extra,9
Grand Champion 3,Rumble,0.02,Extra,9
Supersonic Legend,Rumble,0.01,Extra,9
Bronze 1,Dropshot,99.99,Extra,9
Bronze 2,Dropshot,99.19,Extra,9
Bronze 3,Dropshot,96.9,Extra,9
Silver 1,Dropshot,91.53,Extra,9
Silver 2,Dropshot,81.24,Extra,9
Silver 3,Dropshot,68.64,Extra,9
Gold 1,Dropshot,53.75,Extra,9
Gold 2,Dropshot,38.92,Extra,9
Gold 3,Dropshot,26.17,Extra,9
Platinum 1,Dropshot,16.51,Extra,9
Platinum 2,Dropshot,9.84,Extra,9
Platinum 3,Dropshot,5.6,Extra,9
Diamond 1,Dropshot,3.04,Extra,9
Diamond 2,Dropshot,1.59,Extra,9
Diamond 3,Dropshot,0.79,Extra,9
Champion 1,Dropshot,0.38,Extra,9
Champion 2,Dropshot,0.16,Extra,9
Champion 3,Dropshot,0.07,Extra,9
Grand Champion 1,Dropshot,0.03,Extra,9
Grand Champion 2,Dropshot,0.01,Extra,9
Grand Champion 3,Dropshot,0.0,Extra,9
Supersonic Legend,Dropshot,0.0,Extra,9
Bronze 1,Hoops,99.99,Extra,9
Bronze 2,Hoops,99.98,Extra,9
Bronze 3,Hoops,99.93,Extra,9
Silver 1,Hoops,99.68,Extra,9
Silver 2,Hoops,98.91,Extra,9
Silver 3,Hoops,96.94,Extra,9
Gold 1,Hoops,92.47,Extra,9
Gold 2,Hoops,84.26,Extra,9
Gold 3,Hoops,71.65,Extra,9
Platinum 1,Hoops,56.02,Extra,9
Platinum 2,Hoops,39.75,Extra,9
Platinum 3,Hoops,25.95,Extra,9
Diamond 1,Hoops,15.91,Extra,9
Diamond 2,Hoops,9.33,Extra,9
Diamond 3,Hoops,5.38,Extra,9
Champion 1,Hoops,3.05,Extra,9
Champion 2,Hoops,1.7,Extra,9
Champion 3,Hoops,0.93,Extra,9
Grand Champion 1,Hoops,0.44,Extra,9
Grand Champion 2,Hoops,0.15,Extra,9
Grand Champion 3,Hoops,0.05,Extra,9
Supersonic Legend,Hoops,0.03,Extra,9
Bronze 1,Snow Day,100.01,Extra,9
Bronze 2,Snow Day,98.26,Extra,9
Bronze 3,Snow Day,94.84,Extra,9
Silver 1,Snow Day,87.87,Extra,9
Silver 2,Snow Day,78.3,Extra,9
Silver 3,Snow Day,65.74,Extra,9
Gold 1,Snow Day,51.45,Extra,9
Gold 2,Snow Day,37.55,Extra,9
Gold 3,Snow Day,25.68,Extra,9
Platinum 1,Snow Day,16.59,Extra,9
Platinum 2,Snow Day,10.14,Extra,9
Platinum 3,Snow Day,5.91,Extra,9
Diamond 1,Snow Day,3.33,Extra,9
Diamond 2,Snow Day,1.79,Extra,9
Diamond 3,Snow Day,0.93,Extra,9
Champion 1,Snow Day,0.46,Extra,9
Champion 2,Snow Day,0.23,Extra,9
Champion 3,Snow Day,0.11,Extra,9
Grand Champion 1,Snow Day,0.05,Extra,9
Grand Champion 2,Snow Day,0.02,Extra,9
Grand Champion 3,Snow Day,0.01,Extra,9
Supersonic Legend,Snow Day,0.01,Extra,9
Bronze 1,Solo Duel,99.98,Standard,8
Bronze 2,Solo Duel,99.94,Standard,8
Bronze 3,Solo Duel,99.73,Standard,8
Silver 1,Solo Duel,98.85,Standard,8
Silver 2,Solo Duel,96.42,Standard,8
Silver 3,Solo Duel,91.28,Standard,8
Gold 1,Solo Duel,82.77,Standard,8
Gold 2,Solo Duel,70.55,Standard,8
Gold 3,Solo Duel,55.88,Standard,8
Platinum 1,Solo Duel,40.78,Standard,8
Platinum 2,Solo Duel,26.5,Standard,8
Platinum 3,Solo Duel,15.83,Standard,8
Diamond 1,Solo Duel,8.81,Standard,8
Diamond 2,Solo Duel,4.58,Standard,8
Diamond 3,Solo Duel,2.32,Standard,8
Champion 1,Solo Duel,1.13,Standard,8
Champion 2,Solo Duel,0.53,Standard,8
Champion 3,Solo Duel,0.25,Standard,8
Grand Champion 1,Solo Duel,0.12,Standard,8
Grand Champion 2,Solo Duel,0.06,Standard,8
Grand Champion 3,Solo Duel,0.03,Standard,8
Supersonic Legend,Solo Duel,0.02,Standard,8
Bronze 1,Standard,99.99,Standard,8
Bronze 2,Standard,99.89,Standard,8
Bronze 3,Standard,99.54,Standard,8
Silver 1,Standard,98.55,Standard,8
Silver 2,Standard,96.24,Standard,8
Silver 3,Standard,91.59,Standard,8
Gold 1,Standard,83.92,Standard,8
Gold 2,Standard,73.21,Standard,8
Gold 3,Standard,60.88,Standard,8
Platinum 1,Standard,48.85,Standard,8
Platinum 2,Standard,37.69,Standard,8
Platinum 3,Standard,28.57,Standard,8
Diamond 1,Standard,21.33,Standard,8
Diamond 2,Standard,13.91,Standard,8
Diamond 3,Standard,8.85,Standard,8
Champion 1,Standard,5.47,Standard,8
Champion 2,Standard,2.44,Standard,8
Champion 3,Standard,1.09,Standard,8
Grand Champion 1,Standard,0.46,Standard,8
Grand Champion 2,Standard,0.14,Standard,8
Grand Champion 3,Standard,0.04,Standard,8
Supersonic Legend,Standard,0.01,Standard,8
Bronze 1,Doubles,100.01,Standard,8
Bronze 2,Doubles,100.0,Standard,8
Bronze 3,Doubles,99.95,Standard,8
Silver 1,Doubles,99.8,Standard,8
Silver 2,Doubles,99.38,Standard,8
Silver 3,Doubles,98.39,Standard,8
Gold 1,Doubles,96.28,Standard,8
Gold 2,Doubles,92.31,Standard,8
Gold 3,Doubles,85.83,Standard,8
Platinum 1,Doubles,76.79,Standard,8
Platinum 2,Doubles,65.44,Standard,8
Platinum 3,Doubles,53.29,Standard,8
Diamond 1,Doubles,41.91,Standard,8
Diamond 2,Doubles,28.56,Standard,8
Diamond 3,Doubles,18.87,Standard,8
Champion 1,Doubles,12.17,Standard,8
Champion 2,Doubles,5.47,Standard,8
Champion 3,Doubles,2.36,Standard,8
Grand Champion 1,Doubles,0.95,Standard,8
Grand Champion 2,Doubles,0.22,Standard,8
Grand Champion 3,Doubles,0.05,Standard,8
Supersonic Legend,Doubles,0.01,Standard,8
Bronze 1,Rumble,100.04,Extra,8
Bronze 2,Rumble,100.0,Extra,8
Bronze 3,Rumble,99.81,Extra,8
Silver 1,Rumble,99.24,Extra,8
Silver 2,Rumble,97.92,Extra,8
Silver 3,Rumble,95.09,Extra,8
Gold 1,Rumble,89.9,Extra,8
Gold 2,Rumble,81.27,Extra,8
Gold 3,Rumble,68.82,Extra,8
Platinum 1,Rumble,53.76,Extra,8
Platinum 2,Rumble,38.01,Extra,8
Platinum 3,Rumble,24.68,Extra,8
Diamond 1,Rumble,15.01,Extra,8
Diamond 2,Rumble,8.65,Extra,8
Diamond 3,Rumble,4.9,Extra,8
Champion 1,Rumble,2.72,Extra,8
Champion 2,Rumble,1.47,Extra,8
Champion 3,Rumble,0.79,Extra,8
Grand Champion 1,Rumble,0.34,Extra,8
Grand Champion 2,Rumble,0.11,Extra,8
Grand Champion 3,Rumble,0.03,Extra,8
Supersonic Legend,Rumble,0.01,Extra,8
Bronze 1,Dropshot,99.98,Extra,8
Bronze 2,Dropshot,99.4,Extra,8
Bronze 3,Dropshot,97.67,Extra,8
Silver 1,Dropshot,93.45,Extra,8
Silver 2,Dropshot,84.95,Extra,8
Silver 3,Dropshot,73.86,Extra,8
Gold 1,Dropshot,59.83,Extra,8
Gold 2,Dropshot,44.81,Extra,8
Gold 3,Dropshot,31.09,Extra,8
Platinum 1,Dropshot,20.13,Extra,8
Platinum 2,Dropshot,12.28,Extra,8
Platinum 3,Dropshot,7.11,Extra,8
Diamond 1,Dropshot,3.95,Extra,8
Diamond 2,Dropshot,2.09,Extra,8
Diamond 3,Dropshot,1.07,Extra,8
Champion 1,Dropshot,0.51,Extra,8
Champion 2,Dropshot,0.23,Extra,8
Champion 3,Dropshot,0.1,Extra,8
Grand Champion 1,Dropshot,0.03,Extra,8
Grand Champion 2,Dropshot,0.01,Extra,8
Grand Champion 3,Dropshot,0.0,Extra,8
Supersonic Legend,Dropshot,0.0,Extra,8
Bronze 1,Hoops,100.0,Extra,8
Bronze 2,Hoops,99.99,Extra,8
Bronze 3,Hoops,99.93,Extra,8
Silver 1,Hoops,99.66,Extra,8
Silver 2,Hoops,98.85,Extra,8
Silver 3,Hoops,96.83,Extra,8
Gold 1,Hoops,92.38,Extra,8
Gold 2,Hoops,84.32,Extra,8
Gold 3,Hoops,72.04,Extra,8
Platinum 1,Hoops,56.86,Extra,8
Platinum 2,Hoops,40.89,Extra,8
Platinum 3,Hoops,27.15,Extra,8
Diamond 1,Hoops,16.92,Extra,8
Diamond 2,Hoops,10.07,Extra,8
Diamond 3,Hoops,5.86,Extra,8
Champion 1,Hoops,3.34,Extra,8
Champion 2,Hoops,1.87,Extra,8
Champion 3,Hoops,1.03,Extra,8
Grand Champion 1,Hoops,0.48,Extra,8
Grand Champion 2,Hoops,0.16,Extra,8
Grand Champion 3,Hoops,0.05,Extra,8
Supersonic Legend,Hoops,0.03,Extra,8
Bronze 1,Snow Day,100.01,Extra,8
Bronze 2,Snow Day,98.69,Extra,8
Bronze 3,Snow Day,96.01,Extra,8
Silver 1,Snow Day,90.39,Extra,8
Silver 2,Snow Day,82.3,Extra,8
Silver 3,Snow Day,71.02,Extra,8
Gold 1,Snow Day,57.28,Extra,8
Gold 2,Snow Day,43.02,Extra,8
Gold 3,Snow Day,30.2,Extra,8
Platinum 1,Snow Day,19.83,Extra,8
Platinum 2,Snow Day,12.32,Extra,8
Platinum 3,Snow Day,7.31,Extra,8
Diamond 1,Snow Day,4.16,Extra,8
Diamond 2,Snow Day,2.26,Extra,8
Diamond 3,Snow Day,1.19,Extra,8
Champion 1,Snow Day,0.6,Extra,8
Champion 2,Snow Day,0.28,Extra,8
Champion 3,Snow Day,0.13,Extra,8
Grand Champion 1,Snow Day,0.05,Extra,8
Grand Champion 2,Snow Day,0.02,Extra,8
Grand Champion 3,Snow Day,0.01,Extra,8
Supersonic Legend,Snow Day,0.01,Extra,8
Bronze 1,Solo Duel,100.0,Standard,7
Bronze 2,Solo Duel,99.97,Standard,7
Bronze 3,Solo Duel,99.77,Standard,7
Silver 1,Solo Duel,98.92,Standard,7
Silver 2,Solo Duel,96.54,Standard,7
Silver 3,Solo Duel,91.51,Standard,7
Gold 1,Solo Duel,83.19,Standard,7
Gold 2,Solo Duel,71.24,Standard,7
Gold 3,Solo Duel,56.88,Standard,7
Platinum 1,Solo Duel,42.03,Standard,7
Platinum 2,Solo Duel,27.81,Standard,7
Platinum 3,Solo Duel,16.99,Standard,7
Diamond 1,Solo Duel,9.69,Standard,7
Diamond 2,Solo Duel,5.17,Standard,7
Diamond 3,Solo Duel,2.69,Standard,7
Champion 1,Solo Duel,1.36,Standard,7
Champion 2,Solo Duel,0.66,Standard,7
Champion 3,Solo Duel,0.32,Standard,7
Grand Champion 1,Solo Duel,0.16,Standard,7
Grand Champion 2,Solo Duel,0.08,Standard,7
Grand Champion 3,Solo Duel,0.04,Standard,7
Supersonic Legend,Solo Duel,0.02,Standard,7
Bronze 1,Standard,99.98,Standard,7
Bronze 2,Standard,99.88,Standard,7
Bronze 3,Standard,99.52,Standard,7
Silver 1,Standard,98.5,Standard,7
Silver 2,Standard,96.14,Standard,7
Silver 3,Standard,91.43,Standard,7
Gold 1,Standard,83.75,Standard,7
Gold 2,Standard,73.09,Standard,7
Gold 3,Standard,60.9,Standard,7
Platinum 1,Standard,49.07,Standard,7
Platinum 2,Standard,38.07,Standard,7
Platinum 3,Standard,29.05,Standard,7
Diamond 1,Standard,21.85,Standard,7
Diamond 2,Standard,14.39,Standard,7
Diamond 3,Standard,9.25,Standard,7
Champion 1,Standard,5.77,Standard,7
Champion 2,Standard,2.61,Standard,7
Champion 3,Standard,1.17,Standard,7
Grand Champion 1,Standard,0.5,Standard,7
Grand Champion 2,Standard,0.15,Standard,7
Grand Champion 3,Standard,0.04,Standard,7
Supersonic Legend,Standard,0.01,Standard,7
Bronze 1,Doubles,99.98,Standard,7
Bronze 2,Doubles,99.97,Standard,7
Bronze 3,Doubles,99.93,Standard,7
Silver 1,Doubles,99.79,Standard,7
Silver 2,Doubles,99.39,Standard,7
Silver 3,Doubles,98.42,Standard,7
Gold 1,Doubles,96.27,Standard,7
Gold 2,Doubles,92.11,Standard,7
Gold 3,Doubles,85.21,Standard,7
Platinum 1,Doubles,75.53,Standard,7
Platinum 2,Doubles,63.65,Standard,7
Platinum 3,Doubles,51.31,Standard,7
Diamond 1,Doubles,40.18,Standard,7
Diamond 2,Doubles,27.39,Standard,7
Diamond 3,Doubles,18.18,Standard,7
Champion 1,Doubles,11.78,Standard,7
Champion 2,Doubles,5.33,Standard,7
Champion 3,Doubles,2.32,Standard,7
Grand Champion 1,Doubles,0.92,Standard,7
Grand Champion 2,Doubles,0.2,Standard,7
Grand Champion 3,Doubles,0.04,Standard,7
Supersonic Legend,Doubles,0.01,Standard,7
Bronze 1,Rumble,99.99,Extra,7
Bronze 2,Rumble,99.95,Extra,7
Bronze 3,Rumble,99.75,Extra,7
Silver 1,Rumble,99.16,Extra,7
Silver 2,Rumble,97.83,Extra,7
Silver 3,Rumble,94.99,Extra,7
Gold 1,Rumble,89.82,Extra,7
Gold 2,Rumble,81.25,Extra,7
Gold 3,Rumble,68.98,Extra,7
Platinum 1,Rumble,54.2,Extra,7
Platinum 2,Rumble,38.68,Extra,7
Platinum 3,Rumble,25.41,Extra,7
Diamond 1,Rumble,15.68,Extra,7
Diamond 2,Rumble,9.13,Extra,7
