Rank,Mode,Percentage,Category,Season
Diamond 1,Standard,17.925,Standard,19
Diamond 2,Standard,11.216,Standard,19
Diamond 3,Standard,6.893,Standard,19
Champion 1,Standard,4.116,Standard,19
Champion 2,Standard,1.744,Standard,19
Champion 3,Standard,0.736,Standard,19
GC 1,Standard,0.291,Standard,19
GC 2,Standard,0.082,Standard,19
GC 3,Standard,0.018,Standard,19
SL,Standard,0.002,Standard,19
Bronze 1,Doubles,100.003,Standard,19
Bronze 2,Doubles,99.69,Standard,19
Bronze 3,Doubles,98.929,Standard,19
Silver 1,Doubles,97.347,Standard,19
Silver 2,Doubles,94.463,Standard,19
Silver 3,Doubles,89.868,Standard,19
Gold 1,Doubles,83.346,Standard,19
Gold 2,Doubles,74.802,Standard,19
Gold 3,Doubles,64.97,Standard,19
Platinum 1,Doubles,54.758,Standard,19
Platinum 2,Doubles,44.46,Standard,19
Platinum 3,Doubles,35.579,Standard,19
Diamond 1,Doubles,28.196,Standard,19
Diamond 2,Doubles,20.025,Standard,19
Diamond 3,Doubles,14.011,Standard,19
Champion 1,Doubles,9.598,Standard,19
Champion 2,Doubles,4.966,Standard,19
Champion 3,Doubles,2.564,Standard,19
GC 1,Doubles,1.266,Standard,19
GC 2,Doubles,0.441,Standard,19
GC 3,Doubles,0.133,Standard,19
SL,Doubles,0.043,Standard,19
Bronze 1,Rumble,100.001,Extra,19
Bronze 2,Rumble,99.99,Extra,19
Bronze 3,Rumble,99.918,Extra,19
Silver 1,Rumble,99.657,Extra,19
Silver 2,Rumble,98.795,Extra,19
Silver 3,Rumble,96.445,Extra,19
Gold 1,Rumble,91.136,Extra,19
Gold 2,Rumble,80.788,Extra,19
Gold 3,Rumble,65.097,Extra,19
Platinum 1,Rumble,45.485,Extra,19
Platinum 2,Rumble,28.554,Extra,19
Platinum 3,Rumble,16.684,Extra,19
Diamond 1,Rumble,9.593,Extra,19
Diamond 2,Rumble,5.437,Extra,19
Diamond 3,Rumble,3.07,Extra,19
Champion 1,Rumble,1.744,Extra,19
Champion 2,Rumble,0.952,Extra,19
Champion 3,Rumble,0.524,Extra,19
GC 1,Rumble,0.235,Extra,19
GC 2,Rumble,0.075,Extra,19
GC 3,Rumble,0.02,Extra,19
SL,Rumble,0.008,Extra,19
Bronze 1,Hoops,100.0,Extra,19
Bronze 2,Hoops,99.992,Extra,19
Bronze 3,Hoops,99.953,Extra,19
Silver 1,Hoops,99.745,Extra,19
Silver 2,Hoops,99.027,Extra,19
Silver 3,Hoops,96.471,Extra,19
Gold 1,Hoops,90.265,Extra,19
Gold 2,Hoops,78.844,Extra,19
Gold 3,Hoops,62.687,Extra,19
Platinum 1,Hoops,44.277,Extra,19
Platinum 2,Hoops,27.604,Extra,19
Platinum 3,Hoops,16.992,Extra,19
Diamond 1,Hoops,9.534,Extra,19
Diamond 2,Hoops,5.374,Extra,19
Diamond 3,Hoops,3.04,Extra,19
Champion 1,Hoops,1.741,Extra,19
Champion 2,Hoops,0.991,Extra,19
Champion 3,Hoops,0.567,Extra,19
GC 1,Hoops,0.28,Extra,19
GC 2,Hoops,0.092,Extra,19
GC 3,Hoops,0.029,Extra,19
SL,Hoops,0.016,Extra,19
Bronze 1,Snow Day,100.001,Extra,19
Bronze 2,Snow Day,99.99,Extra,19
Bronze 3,Snow Day,99.918,Extra,19
Silver 1,Snow Day,99.657,Extra,19
Silver 2,Snow Day,98.795,Extra,19
Silver 3,Snow Day,96.445,Extra,19
Gold 1,Snow Day,91.136,Extra,19
Gold 2,Snow Day,80.788,Extra,19
Gold 3,Snow Day,65.097,Extra,19
Platinum 1,Snow Day,45.485,Extra,19
Platinum 2,Snow Day,28.554,Extra,19
Platinum 3,Snow Day,16.684,Extra,19
Diamond 1,Snow Day,9.593,Extra,19
Diamond 2,Snow Day,5.437,Extra,19
Diamond 3,Snow Day,3.07,Extra,19
Champion 1,Snow Day,1.744,Extra,19
Champion 2,Snow Day,0.952,Extra,19
Champion 3,Snow Day,0.524,Extra,19
GC 1,Snow Day,0.235,Extra,19
GC 2,Snow Day,0.075,Extra,19
GC 3,Snow Day,0.02,Extra,19
SL,Snow Day,0.008,Extra,19
Bronze 1,Solo Duel,100.002,Standard,18
Bronze 2,Solo Duel,99.939,Standard,18
Bronze 3,Solo Duel,99.643,Standard,18
Silver 1,Solo Duel,98.691,Standard,18
Silver 2,Solo Duel,96.443,Standard,18
Silver 3,Solo Duel,92.06,Standard,18
Gold 1,Solo Duel,84.707,Standard,18
Gold 2,Solo Duel,73.617,Standard,18
Gold 3,Solo Duel,59.263,Standard,18
Platinum 1,Solo Duel,42.907,Standard,18
Platinum 2,Solo Duel,26.546,Standard,18
Platinum 3,Solo Duel,14.623,Standard,18
Diamond 1,Solo Duel,7.507,Standard,18
Diamond 2,Solo Duel,3.679,Standard,18
Diamond 3,Solo Duel,1.815,Standard,18
Champion 1,Solo Duel,0.894,Standard,18
Champion 2,Solo Duel,0.421,Standard,18
Champion 3,Solo Duel,0.204,Standard,18
GC 1,Solo Duel,0.101,Standard,18
GC 2,Solo Duel,0.048,Standard,18
GC 3,Solo Duel,0.024,Standard,18
SL,Solo Duel,0.013,Standard,18
Bronze 1,Standard,100.0,Standard,18
Bronze 2,Standard,99.888,Standard,18
Bronze 3,Standard,99.541,Standard,18
Silver 1,Standard,98.585,Standard,18
Silver 2,Standard,96.269,Standard,18
Silver 3,Standard,91.387,Standard,18
Gold 1,Standard,82.921,Standard,18
Gold 2,Standard,70.775,Standard,18
Gold 3,Standard,57.102,Standard,18
Platinum 1,Standard,44.27,Standard,18
Platinum 2,Standard,33.133,Standard,18
Platinum 3,Standard,24.433,Standard,18
Diamond 1,Standard,17.732,Standard,18
Diamond 2,Standard,11.081,Standard,18
Diamond 3,Standard,6.79,Standard,18
Champion 1,Standard,4.048,Standard,18
Champion 2,Standard,1.709,Standard,18
